depth_metres,twtt_seconds,interval_velocity_time_mean,vint_std,rms_velocity_time_mean,vrms_std
176.0,0.242099669845049,1456.0,5.0,1448.0,4.0
178.0,0.24480259840602636,1456.0,5.0,1448.0,4.0
180.0,0.24750480967485486,1456.0,5.0,1448.0,4.0
182.0,0.250206461501922,1456.0,5.0,1449.0,4.0
184.0,0.2529081896685737,1456.0,5.0,1449.0,4.0
186.0,0.255609150707184,1456.0,5.0,1449.0,4.0
188.0,0.2583092070332741,1456.0,5.0,1449.0,4.0
190.0,0.261009078926189,1456.0,5.0,1449.0,4.0
192.0,0.2637090282340056,1456.0,5.0,1449.0,4.0
194.0,0.26640934383969883,1456.0,5.0,1449.0,4.0
196.0,0.2691092535617473,1457.0,4.0,1449.0,4.0
198.0,0.27180838008208424,1457.0,4.0,1449.0,4.0
200.0,0.2745114548555681,1457.0,4.0,1449.0,4.0
202.0,0.27721488197809246,1457.0,4.0,1449.0,4.0
204.0,0.279917992505703,1457.0,4.0,1449.0,4.0
206.0,0.28262127434060474,1457.0,4.0,1449.0,4.0
208.0,0.2853240889890252,1457.0,4.0,1450.0,4.0
210.0,0.2880265160197549,1457.0,4.0,1450.0,4.0
212.0,0.2907292886528293,1457.0,4.0,1450.0,4.0
214.0,0.29343134412375027,1457.0,4.0,1450.0,4.0
216.0,0.2961330823248618,1457.0,4.0,1450.0,4.0
218.0,0.2988354723487359,1457.0,4.0,1450.0,4.0
220.0,0.30153732178938525,1457.0,4.0,1450.0,4.0
222.0,0.3042377071309015,1457.0,4.0,1450.0,4.0
224.0,0.3069377813842082,1457.0,4.0,1450.0,4.0
226.0,0.309638095656088,1458.0,4.0,1450.0,4.0
228.0,0.31233837018141114,1458.0,4.0,1450.0,4.0
230.0,0.31503898426281707,1458.0,4.0,1450.0,4.0
232.0,0.31773945155209,1458.0,4.0,1450.0,4.0
234.0,0.3204393902909483,1458.0,4.0,1450.0,4.0
236.0,0.32313969114587826,1458.0,4.0,1451.0,4.0
238.0,0.32583963664108184,1458.0,4.0,1451.0,4.0
240.0,0.3285396165852432,1458.0,4.0,1451.0,4.0
241.0,0.3312395972642408,1458.0,4.0,1451.0,4.0
243.0,0.3339394783858501,1458.0,4.0,1451.0,4.0
245.0,0.3366393927102529,1458.0,4.0,1451.0,4.0
247.0,0.33933876471354024,1458.0,4.0,1451.0,4.0
249.0,0.34203819902653576,1458.0,4.0,1451.0,4.0
251.0,0.3447374757895118,1458.0,4.0,1451.0,4.0
253.0,0.34743660701190343,1458.0,4.0,1451.0,4.0
255.0,0.3501362839233292,1458.0,4.0,1451.0,4.0
257.0,0.3528355642644331,1459.0,4.0,1451.0,4.0
259.0,0.35553396767700907,1459.0,4.0,1451.0,4.0
261.0,0.358232512610712,1459.0,3.0,1451.0,4.0
263.0,0.3609307753689044,1459.0,3.0,1451.0,4.0
265.0,0.36362884883109325,1459.0,3.0,1451.0,4.0
267.0,0.36632673140036304,1459.0,3.0,1451.0,4.0
269.0,0.3690243037176832,1459.0,3.0,1452.0,4.0
271.0,0.37172174672725367,1459.0,3.0,1452.0,4.0
273.0,0.37441896592730356,1459.0,3.0,1452.0,4.0
275.0,0.3771164722290053,1459.0,3.0,1452.0,4.0
277.0,0.3798144137482659,1459.0,3.0,1452.0,4.0
279.0,0.38251183355042034,1459.0,3.0,1452.0,4.0
281.0,0.3852085086726702,1459.0,3.0,1452.0,4.0
283.0,0.3879052080928107,1459.0,3.0,1452.0,4.0
285.0,0.39060174015314647,1459.0,3.0,1452.0,4.0
287.0,0.39329781941943176,1459.0,3.0,1452.0,4.0
289.0,0.3959939657980043,1459.0,3.0,1452.0,4.0
291.0,0.3986901053925216,1459.0,3.0,1452.0,4.0
293.0,0.40138575387384146,1459.0,3.0,1452.0,4.0
295.0,0.40408077077111954,1460.0,3.0,1452.0,4.0
297.0,0.40677599127366115,1460.0,3.0,1452.0,4.0
299.0,0.40947387175943284,1460.0,3.0,1452.0,4.0
301.0,0.41217175138474127,1460.0,3.0,1452.0,4.0
303.0,0.4148677276020469,1460.0,3.0,1452.0,4.0
305.0,0.41756616730611174,1460.0,3.0,1452.0,4.0
307.0,0.4202632263412452,1460.0,3.0,1452.0,4.0
309.0,0.42296153467778813,1460.0,3.0,1453.0,4.0
311.0,0.4256588541190159,1460.0,3.0,1453.0,4.0
313.0,0.428353729449447,1460.0,3.0,1453.0,4.0
315.0,0.4310505861911789,1460.0,3.0,1453.0,4.0
317.0,0.4337467227420513,1460.0,3.0,1453.0,4.0
319.0,0.43644317855025644,1460.0,3.0,1453.0,4.0
321.0,0.43914090586043164,1460.0,3.0,1453.0,4.0
323.0,0.44183743543088383,1460.0,3.0,1453.0,4.0
325.0,0.44453373862589884,1460.0,3.0,1453.0,4.0
327.0,0.4472298140851518,1460.0,3.0,1453.0,4.0
329.0,0.4499256414473965,1460.0,3.0,1453.0,3.0
330.0,0.45262244460457574,1460.0,3.0,1453.0,3.0
332.0,0.4553182468075211,1460.0,3.0,1453.0,3.0
334.0,0.458010186087417,1460.0,3.0,1453.0,3.0
336.0,0.4607061926444796,1460.0,3.0,1453.0,3.0
338.0,0.4634026515227397,1460.0,3.0,1453.0,3.0
340.0,0.46609779252188877,1461.0,3.0,1453.0,3.0
342.0,0.4687932477827525,1461.0,3.0,1453.0,3.0
344.0,0.4714878425335023,1461.0,3.0,1453.0,3.0
346.0,0.4741834617773771,1461.0,3.0,1453.0,3.0
348.0,0.47687892962621703,1461.0,3.0,1453.0,3.0
350.0,0.47957164212800407,1461.0,3.0,1453.0,3.0
352.0,0.4822684315106084,1461.0,3.0,1453.0,3.0
354.0,0.4849638989131703,1461.0,3.0,1454.0,3.0
356.0,0.48765667609971336,1461.0,3.0,1454.0,3.0
358.0,0.4903507002497189,1461.0,3.0,1454.0,3.0
360.0,0.4930458551255085,1461.0,3.0,1454.0,3.0
362.0,0.4957389802489431,1461.0,3.0,1454.0,3.0
364.0,0.4984347909128863,1461.0,3.0,1454.0,3.0
366.0,0.5011264915146089,1461.0,3.0,1454.0,3.0
368.0,0.5038186552839103,1461.0,3.0,1454.0,3.0
370.0,0.5065150655537359,1461.0,3.0,1454.0,3.0
372.0,0.5092099665699846,1461.0,3.0,1454.0,3.0
374.0,0.5119033110670161,1461.0,2.0,1454.0,3.0
376.0,0.5145972017602791,1461.0,2.0,1454.0,3.0
378.0,0.5172924549643589,1461.0,2.0,1454.0,3.0
380.0,0.5199868928142617,1461.0,2.0,1454.0,3.0
382.0,0.5226806195448443,1461.0,2.0,1454.0,3.0
384.0,0.5253745625135076,1461.0,2.0,1454.0,3.0
386.0,0.528066555503202,1461.0,2.0,1454.0,3.0
388.0,0.5307584714774866,1461.0,2.0,1454.0,3.0
390.0,0.5334547773356259,1461.0,2.0,1454.0,3.0
392.0,0.5361450508008933,1461.0,2.0,1454.0,3.0
394.0,0.5388331443608246,1461.0,2.0,1454.0,3.0
396.0,0.5415249158454595,1462.0,2.0,1454.0,3.0
398.0,0.5442157638033511,1462.0,2.0,1454.0,3.0
400.0,0.5469072129661313,1462.0,2.0,1454.0,3.0
402.0,0.5495964964416405,1462.0,2.0,1454.0,3.0
404.0,0.5522880124558298,1462.0,2.0,1454.0,3.0
406.0,0.5549809296820152,1462.0,2.0,1454.0,3.0
408.0,0.5576722093689476,1462.0,2.0,1454.0,3.0
410.0,0.5603657901112257,1462.0,2.0,1454.0,3.0
412.0,0.5630555516505018,1462.0,2.0,1455.0,3.0
414.0,0.5657463136077863,1462.0,2.0,1455.0,3.0
415.0,0.5684379943651268,1462.0,2.0,1455.0,3.0
417.0,0.5711317332136975,1462.0,2.0,1455.0,3.0
419.0,0.5738183882958103,1462.0,2.0,1455.0,3.0
421.0,0.5765100362300154,1462.0,2.0,1455.0,3.0
423.0,0.5792013677309857,1462.0,2.0,1455.0,3.0
425.0,0.5818938604773713,1462.0,2.0,1455.0,3.0
427.0,0.5845839362663932,1462.0,2.0,1455.0,3.0
429.0,0.5872754191577472,1462.0,2.0,1455.0,3.0
431.0,0.5899635051116223,1462.0,2.0,1455.0,3.0
433.0,0.5926533915343273,1462.0,2.0,1455.0,3.0
435.0,0.595342759640707,1462.0,2.0,1455.0,3.0
437.0,0.5980333881818761,1462.0,2.0,1455.0,3.0
439.0,0.6007246883062752,1462.0,2.0,1455.0,3.0
441.0,0.603418034211135,1462.0,2.0,1455.0,3.0
443.0,0.6061074403154606,1462.0,2.0,1455.0,3.0
445.0,0.6087943206922579,1462.0,2.0,1455.0,3.0
447.0,0.611481931428768,1462.0,2.0,1455.0,3.0
449.0,0.6141708363644024,1462.0,2.0,1455.0,3.0
451.0,0.6168605162573647,1462.0,2.0,1455.0,3.0
453.0,0.6195481618337476,1462.0,2.0,1455.0,3.0
455.0,0.6222364425569753,1463.0,2.0,1455.0,3.0
457.0,0.6249289951206,1463.0,2.0,1455.0,3.0
459.0,0.6276189278832877,1463.0,2.0,1455.0,3.0
461.0,0.6303071156519982,1463.0,2.0,1455.0,3.0
463.0,0.6329987875652613,1463.0,2.0,1455.0,3.0
465.0,0.6356878662284169,1463.0,2.0,1455.0,3.0
467.0,0.6383782305249168,1463.0,2.0,1455.0,3.0
469.0,0.6410649480108104,1463.0,2.0,1455.0,3.0
471.0,0.6437525462052397,1463.0,2.0,1455.0,3.0
473.0,0.6464419449748336,1463.0,2.0,1455.0,3.0
475.0,0.6491276120063598,1463.0,2.0,1455.0,3.0
477.0,0.651814970642398,1463.0,2.0,1455.0,3.0
479.0,0.6545000095173054,1463.0,2.0,1455.0,3.0
481.0,0.6571895071477518,1463.0,2.0,1455.0,3.0
483.0,0.6598768430666797,1463.0,2.0,1455.0,3.0
485.0,0.6625632849402032,1463.0,2.0,1455.0,3.0
487.0,0.6652504995084857,1463.0,2.0,1455.0,3.0
489.0,0.6679380047208366,1463.0,2.0,1456.0,3.0
491.0,0.6706248875808161,1463.0,2.0,1456.0,3.0
493.0,0.6733059247939307,1463.0,2.0,1456.0,3.0
495.0,0.6759932290541517,1463.0,2.0,1456.0,3.0
497.0,0.6786856295714223,1463.0,2.0,1456.0,3.0
498.0,0.6813722424933226,1463.0,2.0,1456.0,3.0
500.0,0.6840580217759687,1463.0,2.0,1456.0,3.0
502.0,0.686748065038213,1463.0,2.0,1456.0,3.0
504.0,0.6894348415279149,1463.0,2.0,1456.0,3.0
506.0,0.6921193192093646,1463.0,2.0,1456.0,3.0
508.0,0.694805565982086,1463.0,2.0,1456.0,3.0
510.0,0.697492583550083,1463.0,2.0,1456.0,3.0
512.0,0.700180366166528,1463.0,2.0,1456.0,3.0
514.0,0.7028631377261197,1463.0,2.0,1456.0,3.0
516.0,0.7055502514615046,1463.0,2.0,1456.0,3.0
518.0,0.7082377859769116,1463.0,2.0,1456.0,3.0
520.0,0.7109210023429686,1464.0,2.0,1456.0,3.0
522.0,0.7136063717287117,1464.0,2.0,1456.0,3.0
524.0,0.7162917913669254,1464.0,2.0,1456.0,3.0
526.0,0.718973839597179,1464.0,2.0,1456.0,3.0
528.0,0.7216567946238253,1464.0,2.0,1456.0,3.0
530.0,0.7243371240377886,1464.0,2.0,1456.0,3.0
532.0,0.7270251897855571,1464.0,2.0,1456.0,3.0
534.0,0.7297138131070983,1464.0,2.0,1456.0,3.0
536.0,0.7323990255384385,1464.0,2.0,1456.0,3.0
538.0,0.7350833977900599,1464.0,2.0,1456.0,3.0
540.0,0.7377665105291688,1464.0,2.0,1456.0,3.0
542.0,0.7404521637779063,1464.0,2.0,1456.0,3.0
544.0,0.743136068969586,1464.0,2.0,1456.0,3.0
546.0,0.745816306390779,1464.0,2.0,1456.0,3.0
548.0,0.7484936633081513,1464.0,2.0,1456.0,3.0
550.0,0.7511787536493969,1464.0,2.0,1456.0,3.0
